GROUP_NAME,GRANT_LEVEL,ORGANIZER,URL,CITY,COUNTRY
Dallas R Users Group,Array,Larry D'Agostino,http://www.meetup.com/Dallas-R-Users-Group/,Dallas,USA
New York Open Statistical Programming Meetup,Array,Jared Lander,http://www.meetup.com/nyhackr/,New York City,USA
Spotkania Entuzjastów R - Warsaw R Users Group Meetup,Array,Przemyslaw Biecek,http://www.meetup.com/Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup/,Warsaw,Poland
Comunidad R-Hispano,Array,Virgilio Gomez-Rubio,http://r-es.org/,Madrid,Spain
Melbourne Users of R Network,Array,Jiun Siew,https://www.meetup.com/en-AU/MelbURN-Melbourne-Users-of-R-Network/,Melbourne,Australia
LondonR,Array,Liz Matthews & Karis Bouther,www.londonR.org,London,United Kingdom
Austin R User Group,Array,Daniel Woodie,https://www.meetup.com/Austin-R-User-Group/,Austin,USA
Taiwan R User Group,Array,Chia-Chi Chang,https://www.meetup.com/Taiwan-R/,Taipei,Taiwan
Statistical Programming DC,Array,Marck Vaisman,https://www.meetup.com/stats-prog-dc/,Washington,USA
Warsaw R Users Group,Array,Przemyslaw Biecek,https://www.meetup.com/Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup/,Warsaw,Poland
Budapest Users of R Network,Matrix,Gergely Daroczi,https://www.meetup.com/Budapest-Users-of-R-Network,Budapest,Hungary
Portland R User Group,Matrix,Scott Chamberlain,http://www.meetup.com/portland-r-user-group/,Portland,USA
Pozan R Users Meeting (PAZUR),Matrix,Maciej Beresewicz,http://meetup.com/Poznan-R-User-Group-PAZUR/,Pozan,Poland
R addicts,Matrix,François Guillem,http://www.meetup.com/fr-FR/rparis/,Paris,France
Seattle R User Group,Matrix,Zach Stednick,https://www.meetup.com/Seattle-useR/,Seattle,USA
Greater Toronto Area (GTA) R User's Group,Matrix,Leo Guelman,https://www.meetup.com/Greater-Toronto-Area-GTA-R-Users-Group/,Toronto,Canada
eRka,Matrix,Bartosz Sekiewicz,https://www.meetup.com/Cracow-R-User-Group/,Cracow,Poland
R-Ladies Madrid,Matrix,Beatriz Hernández,https://www.meetup.com/rladies-mad/,Madrid,Spain
R-Ladies RTP,Matrix,Mine Cetinkaya-Rundel,https://www.meetup.com/R-Ladies-RTP/,Durham,USA
Atlanta R user Group,Matrix,Derek M Norton,https://www.meetup.com/R-Users-Atlanta/,Atlanta,USA
Zurich R User Group,Matrix,Heidi Seibold,https://www.meetup.com/Zurich-R-User-Group/,Zurich,Switzerland
Grupo de Usuarios de R de Madrid,Matrix,Carlos Ortega Fernandez,https://www.meetup.com/Grupo-de-Usuarios-de-R-de-Madrid/events/past/?scroll=true&op=past,Madrid,Spain
BelgradeR - Data Science Serbia,Matrix,Branko Kovac,https://www.meetup.com/BelgradeR/,Belgrade,Serbia
Grupo de Usuarios de R en Chile,Matrix,Patricio Cofre,https://www.meetup.com/useRchile/,Santiago,Chile
R-Ladies Chicago,Matrix,Angela Li,https://www.meetup.com/rladies-chicago/,Chicago,USA
757 R Users Group,Vector,Steven Mortimer,https://meetup.com/757-R-Users-Group,Norfolk,USA
Adelaide R Users Group,Vector,Jonathan Carroll,https://www.meetup.com/Adelaide-R-Users/,Adelaide,Australia
Cape R Users Group ,Vector,Maia Lesosky,https://caperuser.wordpress.com,Cape Town,South Africa
Meetup R Nantes,Vector,Aline Deschamps,http://www.meetup.com/fr-FR/Meetup-R-Nantes/,Nantes,France
R user group Oxford,Vector,Kieran Campbell, https://r-oxford.github.io/,Oxford,United Kingdom
San Carlos R User Group,Vector,Ixpantia LTDA,https://www.meetup.com/es-ES/San-Carlos-R-User-Group/,Ciudad Quesada,Costa Rica
Vienna<-R,Vector,Walter Djuric,http://www.meetup.com/viennar/,Vienna,Austria
We R _ Penn State R Users Group,Vector,Lizbeth Benson,https://www.facebook.com/groups/WeRPennStateRUsersGroup/,State College,USA
MadR Madison R Programming Meetup Group,Vector,Justin Meyer,https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group/,Madison,USA
